raw_file,l_edge,r_edge,l_edge_z,r_edge_z
03001.jpg,196,472,2.2452093685854404,-1.984317302166524
03002.jpg,195,473,2.1875071779507773,-1.933647692697372
03003.jpg,198,473,2.3606137498547666,-1.933647692697372
03004.jpg,198,474,2.3606137498547666,-1.8829780832282201
03005.jpg,198,474,2.3606137498547666,-1.8829780832282201
03006.jpg,199,476,2.4183159404894297,-1.7816388642899166
03007.jpg,199,480,2.4183159404894297,-1.5789604264133092
03008.jpg,198,481,2.3606137498547666,-1.5282908169441576
03009.jpg,196,481,2.2452093685854404,-1.5282908169441576
03010.jpg,198,481,2.3606137498547666,-1.5282908169441576
03011.jpg,195,481,2.1875071779507773,-1.5282908169441576
03012.jpg,195,481,2.1875071779507773,-1.5282908169441576
03013.jpg,195,482,2.1875071779507773,-1.4776212074750057
03014.jpg,199,482,2.4183159404894297,-1.4776212074750057
03015.jpg,195,482,2.1875071779507773,-1.4776212074750057
03016.jpg,195,482,2.1875071779507773,-1.4776212074750057
03020.jpg,195,480,2.1875071779507773,-1.5789604264133092
03021.jpg,200,481,2.4760181311240923,-1.5282908169441576
03022.jpg,195,482,2.1875071779507773,-1.4776212074750057
03023.jpg,199,482,2.4183159404894297,-1.4776212074750057
03024.jpg,197,482,2.3029115592201035,-1.4776212074750057
03025.jpg,195,483,2.1875071779507773,-1.4269515980058538
03026.jpg,197,482,2.3029115592201035,-1.4776212074750057
03027.jpg,199,482,2.4183159404894297,-1.4776212074750057
03028.jpg,198,484,2.3606137498547666,-1.3762819885367021
03029.jpg,199,483,2.4183159404894297,-1.4269515980058538
03030.jpg,200,483,2.4760181311240923,-1.4269515980058538
03031.jpg,200,482,2.4760181311240923,-1.4776212074750057
03032.jpg,195,483,2.1875071779507773,-1.4269515980058538
03033.jpg,195,480,2.1875071779507773,-1.5789604264133092
03034.jpg,196,481,2.2452093685854404,-1.5282908169441576
03035.jpg,199,481,2.4183159404894297,-1.5282908169441576
03036.jpg,198,482,2.3606137498547666,-1.4776212074750057
03038.jpg,198,483,2.3606137498547666,-1.4269515980058538
03039.jpg,200,482,2.4760181311240923,-1.4776212074750057
03040.jpg,199,482,2.4183159404894297,-1.4776212074750057
03041.jpg,199,480,2.4183159404894297,-1.5789604264133092
03042.jpg,198,482,2.3606137498547666,-1.4776212074750057
03043.jpg,199,481,2.4183159404894297,-1.5282908169441576
03044.jpg,200,482,2.4760181311240923,-1.4776212074750057
03045.jpg,200,482,2.4760181311240923,-1.4776212074750057
03046.jpg,199,481,2.4183159404894297,-1.5282908169441576
03047.jpg,196,481,2.2452093685854404,-1.5282908169441576
03048.jpg,199,482,2.4183159404894297,-1.4776212074750057
03049.jpg,198,482,2.3606137498547666,-1.4776212074750057
03050.jpg,199,483,2.4183159404894297,-1.4269515980058538
03051.jpg,199,483,2.4183159404894297,-1.4269515980058538
03052.jpg,199,483,2.4183159404894297,-1.4269515980058538
03053.jpg,199,484,2.4183159404894297,-1.3762819885367021
03054.jpg,200,483,2.4760181311240923,-1.4269515980058538
03055.jpg,200,483,2.4760181311240923,-1.4269515980058538
03056.jpg,200,483,2.4760181311240923,-1.4269515980058538
03057.jpg,199,483,2.4183159404894297,-1.4269515980058538
03058.jpg,199,483,2.4183159404894297,-1.4269515980058538
03059.jpg,200,482,2.4760181311240923,-1.4776212074750057
03060.jpg,199,483,2.4183159404894297,-1.4269515980058538
03061.jpg,199,482,2.4183159404894297,-1.4776212074750057
03062.jpg,199,483,2.4183159404894297,-1.4269515980058538
03063.jpg,199,483,2.4183159404894297,-1.4269515980058538
03064.jpg,199,483,2.4183159404894297,-1.4269515980058538
03065.jpg,197,483,2.3029115592201035,-1.4269515980058538
03066.jpg,198,482,2.3606137498547666,-1.4776212074750057
03067.jpg,196,483,2.2452093685854404,-1.4269515980058538
03068.jpg,194,482,2.1298049873161142,-1.4776212074750057
03069.jpg,195,482,2.1875071779507773,-1.4776212074750057
03070.jpg,193,482,2.072102796681451,-1.4776212074750057
03071.jpg,192,483,2.0144006060467885,-1.4269515980058538
03072.jpg,191,483,1.9566984154121252,-1.4269515980058538
03073.jpg,190,482,1.8989962247774623,-1.4776212074750057
03074.jpg,189,482,1.8412940341427992,-1.4776212074750057
03075.jpg,191,482,1.9566984154121252,-1.4776212074750057
03076.jpg,190,483,1.8989962247774623,-1.4269515980058538
03077.jpg,189,483,1.8412940341427992,-1.4269515980058538
03078.jpg,189,483,1.8412940341427992,-1.4269515980058538
03079.jpg,189,482,1.8412940341427992,-1.4776212074750057
03080.jpg,189,483,1.8412940341427992,-1.4269515980058538
03081.jpg,188,481,1.7835918435081362,-1.5282908169441576
03082.jpg,189,482,1.8412940341427992,-1.4776212074750057
03083.jpg,188,482,1.7835918435081362,-1.4776212074750057
03084.jpg,186,481,1.6681874622388102,-1.5282908169441576
03085.jpg,188,482,1.7835918435081362,-1.4776212074750057
03086.jpg,189,483,1.8412940341427992,-1.4269515980058538
03087.jpg,186,482,1.6681874622388102,-1.4776212074750057
03088.jpg,186,483,1.6681874622388102,-1.4269515980058538
03089.jpg,184,483,1.552783080969484,-1.4269515980058538
03090.jpg,185,484,1.6104852716041471,-1.3762819885367021
03091.jpg,185,485,1.6104852716041471,-1.3256123790675503
03092.jpg,185,485,1.6104852716041471,-1.3256123790675503
03093.jpg,182,486,1.437378699700158,-1.2749427695983984
03094.jpg,183,481,1.4950808903348212,-1.5282908169441576
03095.jpg,184,480,1.552783080969484,-1.5789604264133092
03096.jpg,183,482,1.4950808903348212,-1.4776212074750057
03097.jpg,181,485,1.379676509065495,-1.3256123790675503
03098.jpg,181,460,1.379676509065495,-2.5923526157963455
03099.jpg,183,485,1.4950808903348212,-1.3256123790675503
03100.jpg,183,484,1.4950808903348212,-1.3762819885367021
03101.jpg,181,485,1.379676509065495,-1.3256123790675503
03102.jpg,181,484,1.379676509065495,-1.3762819885367021
03103.jpg,181,484,1.379676509065495,-1.3762819885367021
03104.jpg,184,483,1.552783080969484,-1.4269515980058538
03105.jpg,183,483,1.4950808903348212,-1.4269515980058538
03106.jpg,184,484,1.552783080969484,-1.3762819885367021
03107.jpg,191,482,1.9566984154121252,-1.4776212074750057
03108.jpg,192,483,2.0144006060467885,-1.4269515980058538
03109.jpg,190,453,1.8989962247774623,-2.9470398820804085
03110.jpg,186,468,1.6681874622388102,-2.1869957400431312
